id,version,descriptor,material_type,texture_characteristics,specular_properties,render_style,texture_phrase,notes
texture_001,1.0.0,"Felted Wool Character DNA","felted wool","visible fiber texture, matte surfaces","slight specular highlights on eyes and nostrils","macro lens realism","Character crafted from finely felted wool with visible fiber texture, hyper-realistic eyes and nose with natural reflections, matte felted surfaces for body, slight specular highlights on eyes and nostrils","Canonical character material for anthropomorphic animals"
texture_002,1.0.0,"Stop-Motion Puppet Realism","mixed materials","tactile surfaces, hand-crafted feel","natural material reflections","cinematic realism","Photographed like a real miniature puppet under macro lens lighting, shallow depth of field, cinematic realism","Core render style for all characters"
texture_003,1.0.0,"Fabric Wardrobe Materials","natural fabrics","woven texture, soft drape","minimal specular, matte finish","textile realism","Wardrobe items in natural fabrics with visible weave texture, soft drape, minimal specular highlights, matte fabric finish","Clothing and accessories"
texture_004,1.0.0,"Wooden Prop Surfaces","aged wood","grain texture, weathered patina","warm wood reflections","material authenticity","Props crafted from aged wood with visible grain texture, weathered patina, warm wood reflections, hand-crafted finish","Props and objects"
texture_005,1.0.0,"Ceramic & Pottery","glazed ceramic","smooth glaze, subtle imperfections","controlled specular highlights","ceramic realism","Ceramic items with smooth glaze finish, subtle hand-crafted imperfections, controlled specular highlights, authentic pottery feel","Teacups, bowls, decorative items"
texture_006,1.0.0,"Metal Hardware","aged metal","patina, slight oxidation","metallic reflections","metal authenticity","Metal hardware with aged patina, slight oxidation, authentic metallic reflections, weathered finish","Buttons, buckles, hardware"
texture_007,1.0.0,"Glass & Crystal","clear glass","transparency, subtle refraction","glass reflections","glass realism","Glass items with clear transparency, subtle light refraction, authentic glass reflections, crystal clarity","Glasses, bottles, decorative glass"
texture_008,1.0.0,"Leather & Hide","natural leather","grain texture, supple surface","leather sheen","leather authenticity","Leather items with natural grain texture, supple surface, authentic leather sheen, hand-tooled finish","Belts, shoes, leather accessories"
texture_009,1.0.0,"Paper & Cardboard","aged paper","fiber texture, slight yellowing","matte finish","paper realism","Paper items with visible fiber texture, slight age yellowing, matte finish, authentic paper feel","Books, documents, paper props"
texture_010,1.0.0,"Stone & Mineral","natural stone","grain texture, mineral veining","stone reflections","mineral authenticity","Stone items with natural grain texture, mineral veining, authentic stone reflections, natural finish","Rocks, minerals, stone props"
